symbol,longName,sector,dividendYield,dividendRate,currentPrice,fiftyTwoWeekLow,marketCap,payoutRatio
ABX.TO,Barrick Gold Corporation,Basic Materials,0.0537,1.05,19.58,19.02,34675007488,0.33630002
AEM.TO,Agnico Eagle Mines Limited,Basic Materials,0.0375,2.05,54.64,48.88,24903600128,0.8621
AQN.TO,Algonquin Power & Utilities Corp.,Utilities,0.0512,0.92,18,16.75,12200796160,2.3086998
ATD.TO,Alimentation Couche-Tard Inc.,Consumer Cyclical,0.0074,0.44,59.46,45.23,60841848832,0.1244
BAM-A.TO,Brookfield Asset Management Inc.,Financial Services,0.0117,0.73,62.52,55.51,97641234432,0.2358
BCE.TO,BCE Inc.,Communication Services,0.0579,3.68,63.57,61.42,57969483776,1.1433
BHC.TO,Bausch Health Companies Inc.,Healthcare,,,8.49,5.1,3071070720,0
BIP-UN.TO,Brookfield Infrastructure Partners L.P.,Utilities,0.0334,1.86,54.12,45.98,24792371200,2.029
BMO.TO,Bank of Montreal,Financial Services,0.0458,5.56,121.78,118.79,82123685888,0.3064
BNS.TO,The Bank of Nova Scotia,Financial Services,0.0538,4.12,71.41,70.67,85135720448,0.4701
CAE.TO,CAE Inc.,Industrials,,,23.31,22.94,7408127488,0
CAR-UN.TO,Canadian Apartment Properties Real Estate Investment Trust,Real Estate,0.0325,1.45,44.56,42.69,7786681856,0.3976
CCL-B.TO,CCL Industries Inc.,Consumer Cyclical,0.015,0.96,64.58,53.36,11426010112,0.2663
CCO.TO,Cameco Corporation,Energy,0.0032,0.12,37.89,23.03,15096777728,0.53330004
CM.TO,Canadian Imperial Bank of Commerce,Financial Services,0.0541,3.32,61.67,59.03,55792291840,0.45580003
CNQ.TO,Canadian Natural Resources Limited,Energy,0.041500002,3,72.27,39.853085,83424149504,0.2656
CNR.TO,Canadian National Railway Company,Industrials,0.0182,2.93,153.76,137.26,105079578624,0.3702
CP.TO,Canadian Pacific Railway Limited,Industrials,0.0073,0.76,97.32,82.12,90499522560,0.26479998
CSU.TO,Constellation Software Inc.,Technology,0.0026,5.14,1966.25,1793.93,41667788800,0.1863
CTC-A.TO,"Canadian Tire Corporation, Limited",Consumer Cyclical,0.037100002,5.85,157.65,150.25,9679851520,0.2792
CVE.TO,Cenovus Energy Inc.,Energy,0.0174,0.42,24.86,10.43,48004661248,0.0936
DOL.TO,Dollarama Inc.,Consumer Defensive,0.0026,0.21,80.29,53.39,23269890048,0.089700006
EMA.TO,Emera Incorporated,Utilities,0.0428,2.65,61.31,56.87,16296198144,1.256
ENB.TO,Enbridge Inc.,Energy,0.0633,3.44,54.31,46.88,109966352384,1.4066
FM.TO,First Quantum Minerals Ltd.,Basic Materials,0.0070999996,0.17,21.37,18.68,14767503360,0.004
FNV.TO,Franco-Nevada Corporation,Basic Materials,0.0101,1.65,159.73,154.68,30539098112,0.31440002
FSV.TO,FirstService Corporation,Real Estate,0.0062,1.06,158.58,145.76,6966181376,0.273
FTS.TO,Fortis Inc.,Utilities,0.0354,2.14,58.25,54.73,27546425344,0.7992
GIB-A.TO,CGI Inc.,Technology,,,102.51,95.45,24963645440,0
GIL.TO,Gildan Activewear Inc.,Consumer Cyclical,0.0234,0.88,39.38,33.83,7636609024,0.1889
H.TO,Hydro One Limited,Utilities,0.0313,1.12,35.4,29.13,21176883200,0.634
IFC.TO,Intact Financial Corporation,Financial Services,0.021,4,191.36,158,33695051776,0.2585
IMO.TO,Imperial Oil Limited,Energy,0.0222,1.36,64.27,33.31,44706918400,0.2447
K.TO,Kinross Gold Corporation,Basic Materials,0.0352,0.15,4.32,3.92,5414688256,0.6885
L.TO,Loblaw Companies Limited,Consumer Defensive,0.0139,1.62,117.33,83.32,39324909568,0.2534
MFC.TO,Manulife Financial Corporation,Financial Services,0.0563,1.32,22.57,21.28,43845386240,0.2618
MG.TO,Magna International Inc.,Consumer Cyclical,0.028199999,2.31,74.15,68.39,22300833792,0.41529998
MRU.TO,Metro Inc.,Consumer Defensive,0.0155,1.1,70.77,59.14,17115298816,0.22209999
NA.TO,National Bank of Canada,Financial Services,0.040999997,3.68,87.32,82.38,29507088384,0.3241
NTR.TO,Nutrien Ltd.,Basic Materials,0.023,2.52,120.82,76.3,68962361344,0.23879999
OTEX.TO,Open Text Corporation,Technology,0.0219,1.15,39.11,39,10620906496,0.4934
POW.TO,Power Corporation of Canada,Financial Services,0.056900002,1.98,33.86,32.47,22925524992,0.45419997
PPL.TO,Pembina Pipeline Corporation,Energy,0.0515,2.52,46.51,37.02,25597382656,1.1004
QSR.TO,Restaurant Brands International Inc.,Consumer Cyclical,0.040999997,2.82,77.83,60.37,24522053632,0.7889
RCI-B.TO,Rogers Communications Inc.,Communication Services,0.034,2,55.95,55.55,28463947776,0.6006
RY.TO,Royal Bank of Canada,Financial Services,0.040999997,5.12,123.04,118.24,175291400192,0.3986
SAP.TO,Saputo Inc.,Consumer Defensive,0.0228,0.72,33.01,24.61,13678055424,1.0833
SHOP.TO,Shopify Inc.,Technology,,,39.54,38.629,4966223872,0
SJR-B.TO,Shaw Communications Inc.,Communication Services,0.0342,1.19,34.01,33.42,16972860416,0.7012
SLF.TO,Sun Life Financial Inc.,Financial Services,0.0464,2.76,57.75,56.14,33842309120,0.3689
SNC.TO,SNC-Lavalin Group Inc.,Industrials,0.0033000002,0.08,25.11,21.27,4408161280,0.2495
SU.TO,Suncor Energy Inc.,Energy,0.0433,1.88,41.8,22.86,60904689664,0.2937
T.TO,TELUS Corporation,Communication Services,0.045900002,1.35,29.71,27.34,40435306496,1.0298
TD.TO,The Toronto-Dominion Bank,Financial Services,0.0428,3.56,85.53,77.27,155838218240,0.4174
TECK-B.TO,Teck Resources Limited,Basic Materials,0.013300001,0.5,43.05,29.21,22966917120,0.0343
TRI.TO,Thomson Reuters Corporation,Industrials,0.016,2.3,143.5,119.23,69870010368,0.4798
TRP.TO,TC Energy Corporation,Energy,0.052699998,3.6,63.11,57.71,61910908928,1.1028
WCN.TO,"Waste Connections, Inc.",Industrials,0.0068,1.16,184.68,148.05,48263159808,0.3566
WN.TO,George Weston Limited,Consumer Defensive,0.0173,2.64,152.23,128.11,22482847744,0.3123
WPM.TO,Wheaton Precious Metals Corp.,Basic Materials,0.0172,0.75,40.97,39.05,18457272320,0.3552
